"log_id","user_id","login_date","device_type"
"289888bc-1030-4f4b-8b63-290746f3effd",2533,"2018-05-03",Desktop
"87ae4d39-27b4-42a2-a46e-ac931dd2152f",4065,"2018-05-04",Mobile
"0c8d62aa-07da-4724-83e1-d6125d21bfa1",817,"2018-05-05",Desktop
"19ec38bb-f900-4995-b772-5b893db05ba3",3103,"2018-05-05",Desktop
"0676dd43-c34f-4f5d-8b95-0a2c977605a2",243,"2018-05-07",Desktop
f7de22a5-7c9d-4fa4-8e8b-d100d31abc08,1545,"2018-05-10",Desktop
eabf7706-84cc-4006-a639-86aa92e468ef,424,"2018-05-10",Desktop
"129c1038-6eba-4011-b0d1-71f3c5bbdbb3",2778,"2018-05-11",Desktop
a08836ec-a064-4820-be63-5de8631c29e8,424,"2018-05-11",Desktop
"809ff9e2-b03a-4b1e-8acd-a2b480b2d8e7",3103,"2018-05-12",Desktop
"06092a99-25b0-4db9-be4f-994a4e761406",1088,"2018-05-12",Desktop
"2012a65f-5d83-49cc-a55d-fdc419e81cc2",2533,"2018-05-13",Desktop
e8fe4806-c661-4c3e-a335-c1691be36bf9,2603,"2018-05-13",Mobile
f74e4de0-60ab-4875-b074-8454a1786db8,2533,"2018-05-13",Desktop
"9f389935-d06a-4d33-9783-95d928772aff",3103,"2018-05-14",Desktop
"37777e6c-3349-4e59-94f9-5d62d9b4631a",2533,"2018-05-14",Desktop
bc1c4d4c-c568-4870-a663-0507636dcd5d,2439,"2018-05-14",Mobile
ca7e126c-45c6-417a-8975-f40e76bf992a,5034,"2018-05-15",Mobile
"98037fa9-2b4a-4411-9fe8-9bfd1930e1b1",2603,"2018-05-15",Mobile
"1fcc396a-2e5f-4e88-a7c8-f4d696c5c64a",1088,"2018-05-16",Desktop
"082494cc-2942-4b67-bce0-f557f8387a76",2403,"2018-05-16",Mobile
"40979032-c243-4ef5-89cf-f8146829a09b",2778,"2018-05-17",Desktop
ce5f2e6f-2faa-45da-a245-3673c8d046be,424,"2018-05-17",Desktop
aa332b2c-37f4-4b54-997b-7cd7669966c9,1314,"2018-05-18",Desktop
"819ac557-0ed2-4d75-8f0b-7b1f4bc40f51",4141,"2018-05-19",Desktop
b29eaaab-e515-4996-bec9-4fe6ab8ffe6e,4536,"2018-05-19",Desktop
e81127ab-1dc1-4d8f-a141-e2de452005c9,2023,"2018-05-19",Mobile
"5a99180f-5416-41b1-9ae4-164eca50f7fb",1294,"2018-05-20",Desktop
ec9ffc22-6156-4056-aeb3-1e3d09429304,1465,"2018-05-20",Desktop
"9f871cb2-9bb5-490f-91de-a84d5085098f",1088,"2018-05-20",Desktop
db9ec84e-1d70-4a95-a259-56f3947cf7cd,303,"2018-05-20",Desktop
"4e3c4f17-3726-4e2d-8f12-3f5312ac00c1",2919,"2018-05-20",Mobile
b0a03362-0ef2-4c1e-a459-32c78f19837d,303,"2018-05-21",Desktop
"8c889776-deb4-4e21-9846-7001475554a6",1680,"2018-05-21",Mobile
"030a3511-0006-4f9c-9cba-51eaf48f1e73",243,"2018-05-22",Desktop
fabad5ab-da4b-4c5f-b7b4-689ea2d3f36a,2919,"2018-05-22",Mobile
"773e9036-27f5-41e8-bab7-d706540e6294",1088,"2018-05-22",Desktop
ae990ae1-1555-4133-bb23-77441381d5f5,2778,"2018-05-23",Desktop
fe77fd49-53d6-4a2a-8e1f-608276ab8b61,4065,"2018-05-23",Mobile
"1b7f3f70-ea4f-49b5-80ab-4754bac1881a",1314,"2018-05-23",Desktop
bca208f5-edf4-449e-9f41-bdf22ff39340,3607,"2018-05-24",Mobile
"44406fb6-7a5d-4fc7-a26c-ef2627b9a10b",2131,"2018-05-24",Mobile
"0c59a400-98d5-4d32-8591-0e40c801bf76",2919,"2018-05-24",Mobile
"59ece898-7428-41ae-b6b5-1f4a43a8b240",1680,"2018-05-24",Mobile
a1410e25-d9f3-4822-9824-7ea92c16a75f,1294,"2018-05-24",Desktop
d89bb28b-099b-495d-9a5c-41d00918d91f,4065,"2018-05-24",Mobile
"1fb45cbc-32c7-4024-a8df-f22cf2ad4441",2778,"2018-05-24",Desktop
fa213ed3-630e-4865-a410-673b3d5411f4,1088,"2018-05-24",Desktop
"249b9db4-042a-4e1c-adf9-760046467b8e",2679,"2018-05-25",Desktop
"326f1692-3c3a-4781-93b2-264c26bb0a02",2439,"2018-05-25",Mobile
"2ce3d837-a89a-4d26-9780-b6b3fa8dfd31",686,"2018-05-25",Desktop
d3b4904a-d5f2-48d6-9fd1-874f4f2f3e7a,4536,"2018-05-25",Desktop
"187018c7-48de-4db9-879c-3a09966526f9",1939,"2018-05-25",Desktop
"8ce39b80-3326-4986-81ec-1f7b06fd58b7",4536,"2018-05-25",Desktop
cf3bab9e-ef51-445a-99bf-7192e2521b4a,2603,"2018-05-25",Mobile
af20d50a-55a3-474d-a43a-cdf2f456ca68,2515,"2018-05-25",Desktop
"69f58245-216b-4203-b83e-de82a6ecfab6",5034,"2018-05-27",Mobile
"7942c981-5e09-4929-a1db-79ff83b04409",2919,"2018-05-27",Mobile
"483b94c3-2a13-41a1-8f49-0901aacd5cf9",2515,"2018-05-27",Desktop
aabf56a8-6739-45fe-bf4f-0ca925ac4e50,1157,"2018-05-28",Desktop
adbd807d-607e-47ba-8b71-ce4c06e303ae,2192,"2018-05-28",Desktop
"573ee0c0-67d4-483e-b16a-b2d2ae09ffc7",2533,"2018-05-28",Desktop
"32985ad6-a876-4eec-9954-9e193905df97",668,"2018-05-28",Mobile
b97f158e-94dc-45ae-a41a-b9cb52a264ef,4759,"2018-05-28",Desktop
fb8036b7-76b4-4e73-b78e-c3c38ee869f9,2919,"2018-05-29",Mobile
"8d8ba51d-ab30-4de3-b79e-f9b5b613d77e",3719,"2018-05-29",Mobile
d1a7169d-774c-4441-8f1d-fc679f68f886,2205,"2018-05-29",Desktop
e281806e-1fcc-43a5-bb7a-e57588d00f33,4721,"2018-05-29",Desktop
d8ea55b9-0271-4100-9343-6df4c5db03ac,639,"2018-05-29",Desktop
"73066a14-acc0-4bc4-a3fe-9d4178b44fa5",3719,"2018-05-30",Mobile
"5f947fd4-d84f-4e96-8130-0a12dd6d9b3f",3390,"2018-05-30",Mobile
ece0fa8c-e612-4a40-babf-824f89e72349,3103,"2018-05-30",Desktop
efc5c371-63e6-49c0-a7c8-a328c2a9416d,301,"2018-05-30",Mobile
"861ee9c3-9611-450a-bffd-ba60cb1bc1c6",2931,"2018-05-30",Desktop
"3098d472-835d-46a6-bd4c-90ff72669810",1545,"2018-05-31",Desktop
"9e752d35-154d-4160-881d-88c47a8a43f1",424,"2018-05-31",Desktop
"57844578-7377-4e2d-84bf-4688b57494e4",1157,"2018-05-31",Desktop
a035fa78-9931-4936-8d23-89cec28e3b89,202,"2018-05-31",Mobile
"1da394c5-878c-4f88-9d6f-26266d45ace2",2557,"2018-06-01",Desktop
b7a63272-0419-471d-a6a1-9d67aabfdc72,4766,"2018-06-01",Desktop
"3a84d216-c1e9-4165-8490-db286a1d4f74",1545,"2018-06-01",Desktop
"33c3fc30-6297-441a-b0ff-c0457ad381ac",817,"2018-06-01",Desktop
"0015e312-11f2-4521-80e9-7f6ed9a2c69b",2439,"2018-06-01",Mobile
"34101354-fba4-45a6-8ce1-e1b93d5a669a",639,"2018-06-02",Desktop
a3c9645a-0137-4499-ae11-82309bf3ef68,4759,"2018-06-02",Desktop
cb195064-de4c-47b4-8dd6-2417a197fbfd,4759,"2018-06-02",Desktop
a0c0765c-3857-47c8-8801-d71ee4d87927,3796,"2018-06-02",Desktop
"00271628-a1a4-4b11-93a9-5382cf20a9dd",2533,"2018-06-02",Desktop
"1a4b7b6e-b699-49ef-bff3-9136f1f0efc5",1088,"2018-06-03",Desktop
"7d77ccc6-cc2a-4742-9652-0131c0f9ec89",2603,"2018-06-03",Mobile
"0f58a832-83b7-441d-81fc-38ba4b6ab7e8",1314,"2018-06-03",Desktop
"4a3c09ee-4ccd-4f49-b2a4-89d390961c43",4721,"2018-06-03",Desktop
"8d919d85-fcdd-4024-88bb-b99ca5d8595c",2919,"2018-06-03",Mobile
"72c1b105-568e-4695-b64f-78f55baca2c0",2836,"2018-06-04",Mobile
bd407db4-6e49-472c-abea-f342913e0bf8,398,"2018-06-04",Desktop
"9741bab0-4131-4bd5-8820-a08e808b86b3",4766,"2018-06-05",Desktop
c588cbb3-4c54-48d6-964b-2c9c0eb27d96,2557,"2018-06-05",Desktop
"1f40e5c3-ee3f-4e34-97a3-84cb62379656",1762,"2018-06-05",Desktop
a4a1c21e-af01-4a35-bc29-85bf6ebc9929,2023,"2018-06-06",Mobile
"6ff44af6-c9de-403a-bea7-76a4114e72a8",4065,"2018-06-06",Mobile
"3dc996c0-195e-40f1-8816-89b8d3935d83",2603,"2018-06-06",Mobile
"1133824f-d611-4ff6-9113-9ef9b2662db7",4759,"2018-06-06",Desktop
"5eb5cec1-70d4-4dd5-ab55-065ab1be6ec5",3535,"2018-06-06",Desktop
"5b1890db-c092-4e23-bd22-8d48194056ee",3728,"2018-06-06",Desktop
"8494dc0e-fb19-42c6-ad5c-3e414160cfe0",4440,"2018-06-06",Mobile
b9b94859-1c11-41f9-bc02-094aefa9be04,639,"2018-06-07",Desktop
f7db25ab-8c33-490c-a8ed-3f289901545c,2603,"2018-06-07",Mobile
"1ec0b5a5-f833-4bdc-b062-ab5ff387aafa",4661,"2018-06-07",Desktop
"741e69cf-e32a-4109-a6fe-435ace0da74b",4766,"2018-06-07",Desktop
"624fe507-ce29-4d68-9f07-2bdf20e3ccc1",1712,"2018-06-08",Mobile
a0314de3-559d-47c1-8980-38eac0251435,2403,"2018-06-08",Mobile
"9f6d1723-feae-4aca-a0ea-24a8bdb80340",2403,"2018-06-08",Mobile
ed9e4519-d6f1-4d85-91b3-0ab3c9f92b9b,4222,"2018-06-09",Desktop
ed3c678f-ed49-45c4-bce6-d76678491003,2603,"2018-06-09",Mobile
"15df313b-409c-4ade-9e81-0fc1aaca6be6",2399,"2018-06-09",Desktop
"40acad0d-1bb0-4637-a19f-020312f6507e",1712,"2018-06-09",Mobile
"985274c0-107f-407c-ab7b-adce9accbb34",3390,"2018-06-09",Mobile
"46f12214-6e4e-4060-ba7e-79b41a3ae9fc",3103,"2018-06-09",Desktop
c9a7b639-8b02-4046-92b5-ff972d50b90c,1939,"2018-06-09",Desktop
"79ecca87-bf88-4902-a2e1-124dfe65ce99",1314,"2018-06-09",Desktop
"06f724a7-4be2-4f1c-9554-9268b9598c12",1680,"2018-06-10",Mobile
f5d760f6-f8a1-450d-8101-03d381899a35,4766,"2018-06-10",Desktop
"6b610cb5-f47b-445d-90f6-e71ca2e13d07",2919,"2018-06-11",Mobile
"04a1e328-6b62-45cd-b85d-ab910bd1c387",2205,"2018-06-11",Desktop
"571a61c9-131a-461b-80b8-d0d219363b31",2491,"2018-06-11",Mobile
"731bef19-4d7d-4cf2-89c9-974d83fb1a3c",2252,"2018-06-11",Desktop
"2f827e95-116e-42b5-a0bc-3b1152314d7e",1314,"2018-06-12",Desktop
a7834886-98fb-475d-a34c-e9e97b11c67d,2066,"2018-06-12",Desktop
b05b45b7-8651-432a-ad62-984056134f3f,1680,"2018-06-12",Mobile
"75562d55-57ab-4f48-aa16-42b332f8ef2d",187,"2018-06-12",Mobile
ba23dee9-a6ec-487a-854d-0dd1c02c8837,2066,"2018-06-12",Desktop
f18694b6-2437-426e-9739-82211f274a37,2205,"2018-06-12",Desktop
"47c14d95-2c8e-4522-b9b7-aaf4459077b6",2931,"2018-06-13",Desktop
"474e319b-3b42-469a-83f6-e1202a2a20ff",2836,"2018-06-13",Mobile
